nodos,ejes,dijkstra_basico,dijkstra_prioridad 
402, 80601,46386.3 ,44662.4
403, 81003,46889.7 ,45183.7
404, 81406,46957.6 ,45296.6
405, 81810,47473.1 ,45674.4
406, 82215,47798.4 ,46109.1
407, 82621,48672.4 ,46885.9
408, 83028,48454.4 ,46706.4
409, 83436,49599.3 ,47751.2
410, 83845,49407.6 ,47491.6
411, 84255,49894.7 ,48047.9
412, 84666,50170 ,48253.5
413, 85078,50647.7 ,48788.8
414, 85491,50873.2 ,48977.3
415, 85905,51549.3 ,49704.4
416, 86320,51746.2 ,49826.9
417, 86736,52211.6 ,50232.4
418, 87153,52359.5 ,50416.6
419, 87571,52735.7 ,50747.6
420, 87990,53119.7 ,51257.2
421, 88410,53852.5 ,51871.8
422, 88831,53724.8 ,51767.5
423, 89253,54535 ,52589.1
424, 89676,54597.2 ,52549.7
425, 90100,55346 ,53285.3
426, 90525,55998.3 ,53866.8
427, 90951,56269.3 ,54174.8
428, 91378,56395.3 ,54253.1
429, 91806,57386.8 ,55215.4
430, 92235,57295.5 ,55151.2
431, 92665,58571.7 ,56408.8
432, 93096,57969.5 ,55750.6
433, 93528,59173.6 ,56930.8
434, 93961,59232.6 ,57036.6
435, 94395,59780.7 ,57556.5
436, 94830,60218.5 ,57933.2
437, 95266,60688.3 ,58378.4
438, 95703,60636.8 ,58340.5
439, 96141,62436.2 ,60080.5
440, 96580,61451.5 ,59055.2
441, 97020,62623.4 ,60200.4
442, 97461,63104.5 ,60753.7
443, 97903,63824.2 ,61379.4
444, 98346,63443.5 ,60922.9
445, 98790,64759.1 ,62229.9
446, 99235,64423.1 ,61912.7
447, 99681,65437.4 ,62835.3
448, 100128,65482.1 ,62888.2
449, 100576,66524.1 ,63969.6
450, 101025,66295.5 ,63618.4
451, 101475,67446.9 ,64844.4
452, 101926,67947 ,65226.7
453, 102378,68857 ,66162.2
454, 102831,68373.6 ,65630.1
455, 103285,69450 ,66730.1
456, 103740,69166.5 ,66388.9
457, 104196,71160.6 ,68351.3
458, 104653,70709.8 ,67943.2
459, 105111,71542.8 ,68646.1
460, 105570,71757.8 ,68757.9
461, 106030,72326.3 ,69477.7
462, 106491,72502.2 ,69913.6
463, 106953,73509.1 ,70613.2
464, 107416,73699.9 ,70638.8
465, 107880,74864.8 ,71858
466, 108345,74745.6 ,71630.7
467, 108811,75801 ,72811.8
468, 109278,75688.4 ,72672.6
469, 109746,76789 ,73673.7
470, 110215,76538.9 ,73428.2
471, 110685,78107.9 ,74999.9
472, 111156,77724.8 ,74578.5
473, 111628,78967.8 ,75755.9
474, 112101,78433.2 ,75193.9
475, 112575,80258.6 ,77013.7
476, 113050,79805.4 ,76536.3
477, 113526,81399.6 ,78125.7
478, 114003,80770.2 ,77468.7
479, 114481,82318.4 ,78987.8
480, 114960,82297 ,78958.6
481, 115440,83587.6 ,80146.6
482, 115921,83283.4 ,79828.1
483, 116403,84646.9 ,81100.6
484, 116886,84640.4 ,81171
485, 117370,85961 ,82466.4
486, 117855,85310.9 ,81808.7
487, 118341,87148.6 ,83632.4
488, 118828,86928.4 ,83345.1
489, 119316,88023.5 ,84388.6
490, 119805,87911.3 ,84241.6
491, 120295,89888.7 ,86184.1
492, 120786,89120.4 ,85390
493, 121278,90910.3 ,87161.5
494, 121771,90589 ,86723
495, 122265,92125.6 ,88397
496, 122760,91452.3 ,87610
497, 123256,93079.1 ,89176.1
498, 123753,92831.2 ,89001.3
499, 124251,94216.9 ,90381.5
500, 124750,94052.8 ,90086.4
