nodos,ejes ,BellmanFord,dijkstra_basico,dijkstra_prioridad 
226, 25425,9202.68 ,4588.42 ,4402.07
227, 25651,10412.4 ,4688.85 ,4494.19
228, 25878,10513.7 ,4747.28 ,4538.21
229, 26106,10296.1 ,4839.4 ,4635.09
230, 26335,9563 ,4842.78 ,4654.04
231, 26565,9159.66 ,4899.99 ,4689.84
232, 26796,9736.17 ,4966.84 ,4767.21
233, 27028,10036.1 ,5047.97 ,4838.61
234, 27261,13204.3 ,5116.24 ,4897.02
235, 27495,9363.67 ,5166 ,4943.39
236, 27730,12960.3 ,5254.2 ,5017.11
237, 27966,11490.3 ,5311.3 ,5085.27
238, 28203,11759.5 ,5318.9 ,5089.25
239, 28441,11537.8 ,5450.57 ,5213.08
240, 28680,11270.4 ,5491.84 ,5255.97
241, 28920,9525.85 ,5554.78 ,5308.6
242, 29161,11123.5 ,5616.95 ,5365.42
243, 29403,10229.4 ,5699.9 ,5425.41
244, 29646,12515.2 ,5756.79 ,5494.54
245, 29890,12894 ,5900.46 ,5642.47
246, 30135,12664.5 ,5929 ,5659.88
247, 30381,14196.7 ,6024.44 ,5744.87
248, 30628,13308 ,6055.23 ,5777.08
249, 30876,13232.7 ,6181.77 ,5894.87
250, 31125,13116 ,6239.68 ,5963.34
251, 31375,11648.5 ,6288.66 ,6006.36
252, 31626,12824.1 ,6394.52 ,6078.22
253, 31878,12587.3 ,6470.54 ,6169.46
254, 32131,13405.1 ,6535.36 ,6218.84
255, 32385,12552.2 ,6581.86 ,6259.04
256, 32640,15783.9 ,6687.15 ,6364.22
257, 32896,12733.7 ,6771.64 ,6423.56
258, 33153,14426.5 ,6833 ,6483.53
259, 33411,13755.1 ,6921.87 ,6600.87
260, 33670,13746.7 ,6966.39 ,6632.53
261, 33930,19909.9 ,7156.73 ,6814.22
262, 34191,18931.5 ,7182.02 ,6815.64
263, 34453,18306.2 ,7308.87 ,6951.99
264, 34716,15985.2 ,7315.38 ,6950.34
265, 34980,16952.5 ,7462.81 ,7104
266, 35245,17820.4 ,7482.69 ,7079.09
267, 35511,15867.1 ,7574.92 ,7189
268, 35778,15790.9 ,7700.76 ,7304.04
269, 36046,15735.5 ,7756.66 ,7384.89
270, 36315,15992.5 ,7822.26 ,7426.48
271, 36585,19566.3 ,7963.31 ,7558.42
272, 36856,17953.2 ,7994.1 ,7598.95
273, 37128,15413.2 ,8150.56 ,7726.57
274, 37401,16923.2 ,8166.95 ,7748.85
275, 37675,16023.8 ,8304.28 ,7875.23
276, 37950,18856.1 ,8371.65 ,7943.3
277, 38226,14884.7 ,8420.47 ,7983.75
278, 38503,17881.9 ,8532.42 ,8095.19
279, 38781,19682 ,8669.86 ,8173.41
280, 39060,19477.9 ,8720.35 ,8258.19
281, 39340,18573.5 ,8835.12 ,8378.52
282, 39621,20722.5 ,8978.79 ,8506.63
283, 39903,18000.2 ,9006.27 ,8511.45
284, 40186,20546.7 ,9093.23 ,8608.17
285, 40470,16782.6 ,9206.5 ,8727.62
286, 40755,19827.3 ,9284.65 ,8777.41
287, 41041,18968.6 ,9425.89 ,8912.69
288, 41328,24669 ,9535.22 ,9025.01
289, 41616,18887.3 ,9628.15 ,9101.27
290, 41905,18843.3 ,9700.96 ,9184.66
291, 42195,21660.7 ,9808.25 ,9259.32
292, 42486,18288.7 ,9855.39 ,9324.9
293, 42778,20441.3 ,10059 ,9505.7
294, 43071,26433.7 ,10152.4 ,9610.03
295, 43365,21373.3 ,10242.6 ,9685.7
296, 43660,22234.1 ,10351.9 ,9794.43
297, 43956,20771.7 ,10481 ,9922.8
298, 44253,22285.6 ,10534.5 ,9936.54
299, 44551,25279.3 ,10675.7 ,10088.2
300, 44850,20698.2 ,10734.6 ,10136.9
301, 45150,20815.3 ,10827.2 ,10238.3
302, 45451,25068.8 ,10964.8 ,10352.9
303, 45753,21941.1 ,11111 ,10481.7
304, 46056,20668.9 ,11180.6 ,10549.8
305, 46360,24605.3 ,11312.8 ,10668.4
306, 46665,21982.4 ,11442 ,10798
307, 46971,23745.1 ,11543.4 ,10910.1
308, 47278,26846.5 ,11641.8 ,10983.6
309, 47586,20642 ,11760.5 ,11106.7
310, 47895,24309.6 ,11838.4 ,11157
311, 48205,29507.6 ,12055.6 ,11362.2
312, 48516,22903.3 ,12020.2 ,11332.9
313, 48828,24556 ,12276.6 ,11561.7
314, 49141,27899.8 ,12352 ,11642.8
315, 49455,24042.6 ,12463.3 ,11740.1
316, 49770,26291.8 ,12477.6 ,11778
317, 50086,24876.8 ,12806.6 ,12029
318, 50403,24798.1 ,12812.4 ,12071.3
319, 50721,25963.6 ,13015.1 ,12241.7
320, 51040,26884.4 ,13047.1 ,12276.9
321, 51360,24945.1 ,13216 ,12452.3
322, 51681,26658.2 ,13309.3 ,12486.8
323, 52003,24309.4 ,13549.7 ,12763.6
324, 52326,28776.2 ,13531.8 ,12707.9
325, 52650,25377.9 ,13756.1 ,12943.6
326, 52975,26724.2 ,13738.9 ,12888.5
327, 53301,28743.4 ,14065.3 ,13207.7
328, 53628,27698.9 ,14079 ,13250
329, 53956,35694.9 ,14468 ,13624.2
330, 54285,30329 ,14341.4 ,13467.6
331, 54615,27275.3 ,14585.2 ,13680.4
332, 54946,30185.6 ,14549.1 ,13679.4
333, 55278,30119.4 ,14821.4 ,13845.9
334, 55611,29055.8 ,14846.3 ,13923.6
335, 55945,31418.5 ,15129.9 ,14243.3
336, 56280,31896.7 ,15123.6 ,14214.8
337, 56616,30835.5 ,15306.8 ,14380.4
338, 56953,30439 ,15402.6 ,14460.9
339, 57291,37475.7 ,15672 ,14703.4
340, 57630,33146 ,15748.3 ,14741.7
341, 57970,31052.2 ,15978.3 ,15024.1
342, 58311,32089 ,16035.4 ,15025.8
