nodos,ejes,bellman,dijkstra_basico,dijkstra_prioridad 
303, 302,348.16 ,1455.91 ,359.078
304, 303,182.67 ,1436.15 ,297.404
305, 304,214.712 ,1448.49 ,312.288
306, 305,327.897 ,1496.18 ,375.448
307, 306,293.517 ,1510.43 ,382.413
308, 307,150.551 ,1479.31 ,270.821
309, 308,267.366 ,1494.42 ,300.941
310, 309,263.838 ,1542.31 ,353.399
311, 310,230.304 ,1512.21 ,288.906
312, 311,158.35 ,1534.1 ,275.881
313, 312,324.04 ,1546.07 ,310.308
314, 313,220.413 ,1576.32 ,326.705
315, 314,407.126 ,1614.46 ,377.974
316, 315,418.337 ,1640.09 ,406.59
317, 316,326.175 ,1613.66 ,334.681
318, 317,240.241 ,1628.58 ,296.735
319, 318,328.372 ,1647.65 ,330.325
320, 319,419.144 ,1694.21 ,408.347
321, 320,304.337 ,1667.95 ,333.601
322, 321,163.344 ,1658.51 ,284.154
323, 322,143.843 ,1672.66 ,278.13
324, 323,176.633 ,1713.6 ,288.777
325, 324,464.063 ,1783.54 ,443.383
326, 325,467.48 ,1790.78 ,428.621
327, 326,240.037 ,1765.63 ,331.753
328, 327,327.03 ,1811.39 ,410.83
329, 328,453.212 ,1831.26 ,422.383
330, 329,156.889 ,1748.82 ,265.427
331, 330,211.354 ,1820.88 ,316.285
332, 331,513.23 ,1900.35 ,474.599
333, 332,212.738 ,1839.87 ,312.742
334, 333,354.608 ,1891.12 ,401.749
335, 334,232.257 ,1886.31 ,343.508
336, 335,398.259 ,1953.08 ,443.053
337, 336,394.797 ,1974.25 ,461.495
338, 337,283.07 ,1964.17 ,419.164
339, 338,183.658 ,1957.36 ,328.895
340, 339,540.054 ,2026.91 ,485.264
341, 340,205.052 ,1980.7 ,330.526
342, 341,321.737 ,2023.22 ,409.372
343, 342,554.908 ,2064.21 ,457.717
344, 343,203.21 ,2030.46 ,337.029
345, 344,283.589 ,2086.04 ,428.861
346, 345,294.848 ,2103.75 ,409.52
347, 346,458.749 ,2117.21 ,446.199
348, 347,366.012 ,2138.86 ,463.805
349, 348,609.812 ,2191.39 ,514.964
350, 349,444.918 ,2169.37 ,446.403
351, 350,657.519 ,2223.66 ,512.559
352, 351,205.11 ,2172.58 ,361.78
353, 352,577.947 ,2266.98 ,528.728
354, 353,370.597 ,2212.71 ,410.724
355, 354,261.344 ,2224.12 ,374.124
356, 355,267.669 ,2239.23 ,380.865
357, 356,495.098 ,2291.74 ,466.754
358, 357,574.174 ,2347.9 ,530.73
359, 358,418.661 ,2347.44 ,499.874
360, 359,397.368 ,2320.81 ,420.309
361, 360,520.266 ,2385.74 ,510.157
362, 361,245.166 ,2353.97 ,378.917
363, 362,427.425 ,2400.41 ,459.518
364, 363,446.738 ,2452.04 ,497.478
365, 364,503.412 ,2467.51 ,522.066
366, 365,620.492 ,2469.76 ,508.258
367, 366,353.461 ,2480.32 ,485.079
368, 367,263.39 ,2443.14 ,381.728
369, 368,422.028 ,2499.15 ,474.024
370, 369,616.634 ,2595.81 ,580.7
371, 370,422.692 ,2532.01 ,454.782
372, 371,713.866 ,2615.25 ,570.866
373, 372,642.241 ,2626.6 ,553.72
374, 373,797.116 ,2678.13 ,604.576
375, 374,404.686 ,2622.36 ,467.516
376, 375,456.35 ,2645.39 ,483.37
377, 376,663.04 ,2713.26 ,582.869
378, 377,189.719 ,2615.3 ,363.541
379, 378,229.58 ,2648.65 ,385.863
380, 379,550.371 ,2783.82 ,599.171
381, 380,935.859 ,2815.37 ,627.316
382, 381,467.613 ,2764.05 ,490.055
383, 382,394.271 ,2786.43 ,492.002
384, 383,306.228 ,2796.3 ,422.978
385, 384,391.818 ,2832.53 ,507.153
386, 385,826.72 ,2930.89 ,619.335
387, 386,327.421 ,2838.26 ,461.565
388, 387,564.246 ,2899.17 ,533.339
389, 388,390.302 ,2919.64 ,524.651
390, 389,591.965 ,2999.84 ,626.644
391, 390,298.218 ,2959.88 ,447.896
392, 391,400.939 ,2979.56 ,534.622
393, 392,549.144 ,3068.79 ,602.373
394, 393,271.769 ,2973.02 ,441.744
395, 394,682.882 ,3129.18 ,643.521
396, 395,444.781 ,3062.3 ,518.318
397, 396,522.463 ,3124.04 ,583.148
398, 397,319.86 ,3100.37 ,486.393
399, 398,398.009 ,3137.67 ,533.737
400, 399,417.739 ,3176.31 ,570.623
401, 400,245.473 ,3160.8 ,446.437
402, 401,665.5 ,3278.18 ,688.157
403, 402,688.386 ,3290.83 ,664.945
404, 403,410.852 ,3294.41 ,593.83
405, 404,358.712 ,3274.66 ,553.509
406, 405,175.182 ,3195.03 ,394.268
407, 406,454.327 ,3332.75 ,504.368
408, 407,607.295 ,3364.9 ,587.941
409, 408,257.208 ,3306.77 ,471.083
410, 409,242.146 ,3267.73 ,407.823
411, 410,151.31 ,3224.36 ,370.115
412, 411,847.155 ,3511.19 ,664.176
413, 412,644.607 ,3528.38 ,697.354
414, 413,526.763 ,3540.96 ,663.807
415, 414,335.856 ,3466.71 ,496.317
416, 415,726.469 ,3579.57 ,604.128
417, 416,885.328 ,3646.87 ,731.174
418, 417,577.043 ,3631.01 ,678.218
